variable,mean,std,percentile_5,percentile_95,var_95,cvar_95,coefficient_of_variation,model
gdp_growth,6.518668598048572,0.8406378123271144,5.472923806806623,7.619095705759695,5.472923806806623,4.4666250946525565,0.12895851348828619,abm
inflation,5.523004444256017,0.8216696529240511,4.503606387341118,6.5980739790049,4.503606387341118,3.4944548244027476,0.14877222374474028,abm
unemployment,4.219927252265473,0.803165615844879,3.2111646841535184,5.281746912685861,3.2111646841535184,2.195300919071924,0.19032688665751255,abm
current_account,-1.4795625488137363,0.7791289852097858,-2.454817925832997,-0.4462783172518008,-2.454817925832997,-3.4757100066959046,0.5265941516527742,abm
government_debt,35.03172898090416,1.9026252407918038,31.934254161721647,38.12603440912808,31.934254161721647,31.063322614644527,0.05431148550586604,abm
trade_balance,-7.980225286196491,0.8696345796493048,-9.117904587058689,-6.80977555035298,-9.117904587058689,-10.064315510382782,0.10897368789243632,abm
real_exchange_rate,100.01755257464741,5.052870657124222,91.81321788741059,108.3366199732167,91.81321788741059,89.62610623203322,0.05051983903878319,abm
investment_rate,25.01819238115199,1.4793379326274083,22.673250328607097,27.41270852934614,22.673250328607097,21.875791519933788,0.05913048832984034,abm
consumption_growth,5.819650147214863,0.8276193259722354,4.769469126678738,6.92042419313349,4.769469126678738,3.7761799956757933,0.14221118195022653,abm
productivity_growth,2.519831462802185,0.7844502550357766,1.5337355346156907,3.564650647052972,1.5337355346156907,0.5190453917361363,0.3113106041478769,abm
gdp_growth,6.5215605083163135,0.8405702280510275,5.455794335584322,7.61450363394862,5.455794335584322,4.467979212259058,0.1288909651270014,behavioral
inflation,5.5193209820354125,0.8241770246977403,4.490417395577822,6.611770459363292,4.490417395577822,3.480922180316429,0.14932580065198542,behavioral
unemployment,4.221197063122568,0.8031883632833016,3.2161287694259975,5.2755107139316495,3.2161287694259975,2.2008200980286725,0.1902750218178999,behavioral
current_account,-1.4802778889849277,0.7793253027174477,-2.4586904001666596,-0.4408288042715058,-2.4586904001666596,-3.4786249332764383,0.5264722985573034,behavioral
government_debt,35.01987039851358,1.9035144701003,31.907748479008337,38.12914195608818,31.907748479008337,31.0480646467737,0.05435526883563494,behavioral
trade_balance,-7.982750710723391,0.8754486875401467,-9.118289872142398,-6.7982380520499435,-9.118289872142398,-10.080254924592102,0.10966754684749691,behavioral
real_exchange_rate,100.00007390252527,5.061697684884248,91.69355093626345,108.37945207995759,91.69355093626345,89.57011483814117,0.05061693944164601,behavioral
investment_rate,25.02445784859451,1.4781795036592775,22.684438515540673,27.392210813877885,22.684438515540673,21.886891293396282,0.05906939173678438,behavioral
consumption_growth,5.817920717320454,0.8269165139070687,4.788338121460424,6.906025069560911,4.788338121460424,3.771233756335594,0.14213265427376254,behavioral
productivity_growth,2.520551860274586,0.7861292601221681,1.527344767538632,3.565567218078979,1.527344767538632,0.5134433888246425,0.3118877546270871,behavioral
gdp_growth,6.522696337013519,0.8412848313806311,5.459081916546656,7.647044459460329,5.459081916546656,4.457405323407076,0.1289780771498895,cge
inflation,5.517884739412817,0.8247707547283346,4.47626816680926,6.608203413574672,4.47626816680926,3.4756388353260035,0.14947226947986272,cge
unemployment,4.219780343672205,0.8042066166772459,3.222510318240756,5.277575515321329,3.222510318240756,2.2000280356872626,0.1905802082525927,cge
current_account,-1.4799349523511143,0.7792299056842308,-2.450069908323634,-0.44868204347877666,-2.450069908323634,-3.479183978898294,0.5265298346027296,cge
government_debt,35.0293014819907,1.9250131559630348,31.958164950258933,38.154902389509154,31.958164950258933,31.027499268109153,0.054954368900354024,cge
trade_balance,-7.976417686196472,0.8745361971311697,-9.100996633077477,-6.808190827544981,-9.100996633077477,-10.076450893892593,0.10964022090324979,cge
real_exchange_rate,100.03555284473389,5.052702737733273,91.67513940306083,108.3440300997772,91.67513940306083,89.53007595069157,0.050509069966111146,cge
investment_rate,25.022362190328344,1.474010023609831,22.677792561764758,27.380252042239984,22.677792561764758,21.90460351021325,0.0589077087286174,cge
consumption_growth,5.819480686587315,0.830127834654732,4.784759640261572,6.908054854466936,4.784759640261572,3.7718288781740927,0.14264637677516534,cge
productivity_growth,2.520347470101046,0.78613669629237,1.5361097168342581,3.558366343501608,1.5361097168342581,0.5140567248232379,0.31191599794009833,cge
